,City,Clouds,Humidity,Lat,Temp,Wind
260,Flin Flon,90,87,54.77,57.2,6.93
261,Langsa,99,86,4.47,68.79,2.86
262,Nhulunbuy,90,94,-12.18,71.6,9.66
263,Shenjiamen,40,91,29.96,75.27,8.23
264,Bhera,0,50,32.48,87.15,7.16
265,Porto Novo,0,53,-23.68,71.6,8.05
266,Dudinka,0,62,69.41,53.6,6.71
267,Pontianak,96,76,-0.02,82.29,11.36
268,Genhe,35,59,50.78,62.31,2.1
269,Lasa,0,88,34.92,80.82,6.93
270,Vilhena,40,45,-12.74,82.4,5.82
271,Touros,20,69,-5.2,80.6,9.17
272,Makat,0,26,47.65,85.17,10.45
273,Durgapur,90,94,23.54,78.8,6.93
274,Niquelandia,0,37,-14.47,75.45,3.67
275,Black River,20,52,18.03,89.74,23.04
276,Ulladulla,0,54,-35.36,54.45,23.04
277,Husavik,98,39,50.56,82.99,5.99
278,Dingle,56,90,11.0,74.55,2.46
279,Goundam,0,32,16.42,95.25,6.24
280,Puri,100,93,-7.54,68.25,4.76
281,Vila Velha,20,69,-3.71,82.81,12.75
282,Kuntaur,100,56,13.67,85.53,12.62
283,Svetlaya,100,90,46.54,59.25,1.19
284,Narsaq,20,62,60.91,53.6,6.93
285,Manta,0,77,45.1,53.13,5.21
286,Belaya Gora,100,86,68.54,62.13,11.63
287,Sao Jose da Coroa Grande,78,93,-8.9,71.49,3.67
288,Yulara,100,33,-25.24,46.4,5.82
289,Altamont,1,61,49.4,82.71,16.11
290,Skeldon,47,92,5.88,80.67,2.28
291,Sovetskiy,100,95,56.76,53.31,5.59
292,Myre,94,58,62.25,54.66,3.36
293,Areka,90,90,7.07,63.39,2.77
294,Dubova,91,94,49.2,51.33,6.64
295,Lompoc,9,35,34.64,75.13,9.17
296,Muroto,6,94,33.37,71.13,2.15
297,Tiarei,40,69,-17.53,82.18,9.17
298,Norman Wells,75,76,65.28,51.8,14.99
299,Hope,1,55,33.67,90.36,8.05
300,Bilibino,74,30,68.06,76.35,6.13
301,Magadan,0,79,59.56,53.67,1.72
302,Pisco,0,30,-13.71,69.35,10.29
303,Swinoujscie,0,52,53.91,62.42,3.36
304,Ormara,100,71,25.21,83.37,7.58
305,Tongliao,90,61,43.61,70.95,3.94
306,Lebanon,90,94,40.34,75.04,5.82
307,Chapais,90,93,49.78,64.4,6.93
308,Santa Maria,0,28,-16.02,79.86,3.36
309,Hagere Selam,93,96,6.48,52.41,5.21
310,Coquimbo,20,76,-29.95,58.57,14.99
311,Dongsheng,100,98,29.72,72.93,2.42
312,Upata,92,61,8.02,86.0,7.0
313,Laishevo,0,67,55.4,60.8,6.71
314,La Rioja,0,67,-29.41,58.17,4.47
315,Codrington,0,93,-28.95,48.72,5.82
316,Lucea,20,52,18.44,89.83,23.04
317,Mehamn,0,66,71.03,47.16,13.87
318,Elizabeth City,1,59,36.3,89.73,12.75
319,Los Llanos de Aridane,20,73,28.66,69.04,10.29
320,Chimore,96,65,-16.98,76.89,1.05
321,Shache,0,93,38.42,75.99,3.49
322,Mount Gambier,90,93,-37.83,51.8,16.11
323,Tipuani,59,72,-15.56,56.55,4.18
324,Kieta,100,85,-6.22,78.33,6.96
325,Fairbanks,90,77,64.84,69.87,3.36
326,Lorengau,98,81,-2.02,78.87,14.61
327,Moron,89,79,18.56,81.39,6.08
328,Valdivia,75,71,-39.81,55.4,8.05
329,Cordoba,0,28,-27.78,67.89,10.74
330,Ciudad Bolivar,0,49,8.12,90.21,5.08
331,Srednekolymsk,10,39,67.46,80.85,6.69
332,Ouro Preto do Oeste,89,53,-10.75,83.91,1.54
333,Ojinaga,40,23,29.56,98.6,14.99
334,Khovu-Aksy,100,73,51.13,55.65,4.79
335,Palana,32,81,59.08,54.75,2.08
336,Uinskoye,74,96,56.88,53.67,5.57
337,Maldonado,0,77,-34.91,62.6,3.36
338,Zhanakorgan,0,18,43.91,86.43,13.87
339,Miranda,0,39,-20.24,79.59,3.96
340,Nyrob,34,96,60.74,47.91,2.06
341,Erzin,75,83,36.95,81.61,3.36
342,Chilliwack,75,82,49.17,66.85,3.36
343,Olinda,75,81,-37.84,52.99,16.11
344,Saint-Paul,0,46,45.22,75.04,2.24
345,Lebu,75,87,8.96,60.8,2.24
346,Bandarbeyla,85,66,9.49,79.59,25.57
347,Baracoa,55,82,20.35,82.29,9.69
348,Birao,99,90,10.3,70.95,2.59
349,Mount Isa,98,37,-20.73,53.6,8.05
350,Tura,99,82,64.27,58.35,9.62
351,Torbay,90,100,47.66,49.62,11.41
352,Shibetsu,98,86,44.15,61.59,3.15
353,Saint-Georges,100,92,46.12,72.7,9.71
354,Aksu,0,72,52.04,59.0,6.71
355,Tilichiki,88,80,60.47,55.47,5.03
356,Vardo,90,94,39.62,78.13,6.93
357,Fare,0,70,-16.7,78.33,9.86
358,Mayumba,100,91,-3.44,72.75,9.35
359,Tairua,87,97,-37.02,48.99,4.56
360,Debre Tabor,55,89,11.86,59.07,3.76
361,Vestmannaeyjar,100,88,63.44,53.31,14.07
362,Hamilton,75,88,43.26,79.95,10.29
363,Kirksville,20,65,40.19,80.6,11.41
364,Ambilobe,48,80,-13.19,69.33,4.9
365,Kudahuvadhoo,82,76,2.67,83.73,9.04
366,Lima,75,77,-12.06,66.2,10.29
367,San Rafael,0,50,-34.61,54.93,10.45
368,Berdigestyakh,0,70,62.1,65.91,1.48
369,Matanzas,75,94,23.05,73.4,17.22
370,Teahupoo,40,69,-17.83,82.18,9.17
371,College,90,77,64.86,71.02,3.36
372,Khandyga,0,61,62.65,73.11,3.29
373,Illapel,46,86,-31.63,53.31,5.99
374,Basco,90,57,40.33,82.63,9.17
375,Christchurch,71,100,-43.53,42.78,5.82
376,Freeport,75,55,26.54,91.4,5.82
377,Le Port,0,83,42.87,67.03,3.87
378,Taranagar,0,43,28.67,95.07,24.61
379,Fukue,75,88,35.03,69.37,4.7
380,Kangaatsiaq,83,87,68.31,43.59,5.86
381,Alice Springs,100,52,-23.7,42.8,5.82
382,Ust-Ilimsk,96,74,57.96,56.37,3.91
383,Wuzhou,100,98,23.48,74.73,2.24
384,Miles City,1,35,46.41,87.8,5.82
385,Lupiro,1,62,-8.39,68.61,1.36
386,Ngaoundere,100,98,7.32,62.67,2.19
387,Nizhneudinsk,100,96,54.91,56.01,2.44
388,Sao Joao da Barra,0,36,-21.64,77.76,4.7
389,San Quintin,0,89,17.54,74.91,3.44
390,Rawson,0,46,-43.3,48.63,5.39
391,Novikovo,29,91,51.15,53.85,5.35
392,Nunkini,71,66,20.4,84.99,13.13
393,Grand Gaube,20,88,-20.01,66.13,8.05
394,Nanortalik,100,92,60.14,39.63,5.48
395,Inuvik,75,61,68.36,50.0,9.17
396,Port Hardy,75,88,50.7,62.6,3.36
397,Calvia,0,69,39.57,79.75,10.29
398,Chunoyar,0,80,57.45,51.87,3.18
399,Corner Brook,90,67,48.95,58.41,2.24
400,Nakodar,24,62,31.13,86.07,13.24
401,Bolobo,100,73,-2.17,75.27,5.99
402,Tuy Hoa,0,89,13.08,73.65,3.67
403,Keelung,40,88,25.13,80.83,6.93
404,Luxor,0,30,25.7,95.0,9.91
405,Pundaguitan,98,77,6.37,80.49,7.09
406,Saint-Joseph,20,83,43.56,76.6,3.36
407,Angoche,70,78,-16.23,68.61,4.29
408,Hirara,0,83,24.8,83.91,17.74
409,Chulman,0,87,56.84,58.89,2.13
410,Calvinia,0,55,-31.47,49.89,3.47
411,Damaturu,82,71,11.75,78.15,17.65
412,Carutapera,18,84,-1.2,77.61,7.14
413,Rassvet,100,80,49.11,61.59,2.37
414,Baykit,0,81,61.68,44.49,4.68
415,Brumunddal,90,61,60.89,61.0,1.99
416,Yamada,75,69,36.58,73.85,8.05
417,Lerwick,75,87,60.15,53.6,12.75
418,Pedro II,86,80,-4.43,74.01,5.95
419,Dubai,93,52,25.27,90.99,1.12
420,Grindavik,90,76,63.84,54.91,10.29
421,Evanston,40,58,42.04,81.05,5.82
422,Jipijapa,90,78,-1.35,77.0,11.41
423,Agua Dulce,40,62,18.14,87.8,11.41
424,Rapar,65,69,23.57,83.55,18.77
425,Chara,40,60,39.42,69.8,6.93
426,Tamandare,71,58,-8.28,84.27,1.21
427,Clyde River,75,62,70.47,55.4,24.16
428,Padang,82,74,-0.92,82.83,5.88
429,Garden City,1,30,43.62,87.06,6.93
430,Xingyi,100,97,24.19,61.05,5.7
431,Heishan,96,90,41.69,64.65,2.26
432,Batsfjord,0,81,70.63,45.55,9.17
433,Villamontes,75,57,-21.26,80.6,5.3
434,Kadoshkino,100,93,54.03,55.29,5.84
435,Ornskoldsvik,74,47,63.29,57.2,4.7
436,Bayji,0,17,34.93,94.35,17.87
437,Linxia,1,68,35.6,47.91,6.38
438,Bubaque,99,84,11.28,80.31,10.36
439,Nome,40,67,30.04,94.21,8.05
440,Beyneu,0,25,45.32,89.13,7.76
441,Coari,29,75,-4.09,84.27,2.55
442,Tete,0,56,-16.16,69.8,8.05
443,Hasaki,75,93,35.73,65.12,4.7
444,Maningrida,42,95,-12.05,64.83,7.05
445,Suleja,40,74,9.18,78.8,5.82
446,Clonakilty,20,68,51.62,64.4,13.87
447,Sorland,40,93,67.67,48.2,12.75
448,Brigantine,75,74,39.41,80.96,13.87
449,Huancavelica,0,18,-12.79,44.31,10.65
450,Brae,54,87,60.4,53.6,12.75
451,Channel-Port aux Basques,29,87,47.57,50.43,21.18
452,Hervey Bay,0,76,-25.3,49.82,4.7
453,Chiclana,100,67,-35.73,56.91,6.02
454,Teguise,40,73,29.06,73.4,13.87
455,Ciudad Valles,0,43,21.99,84.81,8.05
456,Karratha,0,27,-20.74,67.71,12.75
457,Teeli,100,94,51.01,49.35,0.31
458,Guiratinga,0,33,-16.35,76.17,1.57
459,Ugoofaaru,100,68,5.67,83.55,4.34
460,Mariental,0,35,-25.72,70.48,10.29
461,Katubao,100,77,5.89,77.97,2.8
462,Souillac,0,44,45.6,76.21,9.17
463,Nantucket,40,88,41.28,76.3,12.75
464,Mayo,90,68,63.59,64.4,2.24
465,Tazovskiy,99,94,67.47,55.83,21.59
466,Nipawin,90,88,53.36,64.4,8.05
467,Qianan,74,82,44.99,68.97,5.7
468,Leh,84,59,34.16,41.25,2.75
469,Hobyo,60,70,5.35,78.33,23.35
470,Damghan,100,38,36.17,72.03,5.37
471,Kimbe,34,80,-5.56,70.95,5.06
472,Minsk,0,82,53.9,59.0,6.71
473,Draguignan,0,65,43.54,76.93,2.24
474,Saint-Michel-des-Saints,100,9,46.68,69.01,6.87
475,Nema,48,96,57.51,51.69,2.86
476,Sola,32,47,-3.17,69.33,8.41
477,Mitsamiouli,0,73,-11.38,77.79,18.72
478,Amahai,39,77,-3.31,75.81,12.01
479,Portland,90,93,43.66,69.33,8.05
480,Tautira,40,69,-17.73,82.18,9.17
481,Coruripe,4,95,-10.12,70.05,5.75
482,Kaseda,38,88,31.42,73.0,8.99
483,Mecca,33,28,21.43,83.91,3.24
484,Natitingou,70,76,10.31,77.79,5.39
485,Soc Trang,93,94,9.6,78.8,2.24
486,Maltahohe,0,30,-24.83,48.99,3.94
487,Hranice,40,55,49.55,56.71,2.24
488,Camocim,59,92,-2.9,75.45,5.28
489,Tuatapere,100,87,-46.13,44.01,4.0
490,Finnsnes,20,62,69.23,52.54,11.41
491,Kazanskaya,100,96,45.41,61.23,3.78
492,General Pico,100,69,-35.66,55.47,6.35
493,Alindao,100,97,5.04,68.43,2.1
494,Taunggyi,100,95,20.78,66.63,5.06
495,Sandwick,0,82,54.57,60.98,12.75
496,At-Bashi,0,36,41.17,54.93,5.01
497,Ruteng,26,87,-8.61,64.83,5.3
498,Maraa,5,87,-1.83,81.39,0.92
499,Ixtapa,90,62,20.71,87.46,12.75
500,Biu,99,87,10.61,70.41,7.0
501,Nuuk,20,71,64.17,50.0,9.17
502,Flinders,32,54,-34.58,53.78,23.04
503,Najran,40,14,17.54,93.2,6.93
504,Lensk,8,83,60.71,63.57,1.61
505,Xining,7,82,36.62,40.53,2.39
506,Pinawa,90,45,50.15,84.0,1.01
507,Great Falls,40,34,47.5,79.14,10.29
508,Astolfo Dutra,0,60,-21.31,62.85,2.19
509,Penzance,75,93,50.12,62.56,9.17
510,Ahipara,100,90,-35.17,59.25,33.35
511,Salinopolis,5,79,-0.61,81.21,17.81
512,Eyl,100,66,7.98,78.87,26.22
513,Douentza,27,31,15.01,94.17,3.38
514,Ena,100,93,35.45,68.54,2.91
515,Luanda,1,78,-8.83,73.4,9.17
516,Qasigiannguit,40,81,68.82,44.6,8.05
517,Paulo Ramos,0,88,-4.45,75.27,0.65
518,Safford,1,11,32.83,100.72,8.05
519,Riyadh,0,8,24.63,95.0,6.93
520,Ola,0,79,59.58,54.39,2.89
521,Guasave,5,46,25.57,94.96,19.46
522,Chiredzi,0,42,-21.05,57.63,3.2
523,Odienne,19,91,9.51,72.57,1.14
524,Argir,95,100,62.0,51.8,10.29
525,Kilindoni,60,78,-7.91,78.69,19.95
526,Kushima,80,88,31.5,73.0,8.99
527,Tshikapa,98,23,-6.42,80.49,1.21
528,Warmbad,100,72,50.67,59.63,8.05
529,Puerto Escondido,75,70,15.86,86.0,9.17
530,Beian,20,87,63.66,53.4,10.29
531,Busing,61,72,13.15,83.91,4.34
532,Awbari,0,12,26.59,90.75,8.08
533,Tawau,75,94,4.26,75.07,3.36
534,Goderich,50,68,43.74,67.86,15.01
535,Anju,49,94,39.62,63.57,4.81
536,Beipiao,49,64,41.8,65.73,4.18
